time,open,high,low,close,Volume,Volume MA,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,EMA 1,EMA 2,EMA 3,EMA 4,EMA 5,Upper ATR 1,Lower ATR 1,Upper ATR 2,Lower ATR 2,Upper ATR 3,Lower ATR 3,K,D,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2010-07-17T02:00:00+02:00,0.04951,0.04951,0.04951,0.04951,20,NaN,0.04951,0.04951,0.04951,0.04951,0.04951,0.04951,0.04951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-18T02:00:00+02:00,0.05941,0.08585,0.05941,0.08584,75.01,NaN,0.077033333,0.077033333,0.077033333,0.077033333,0.077033333,0.077033333,0.077033333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-19T02:00:00+02:00,0.0909,0.09307,0.07723,0.0808,574,NaN,0.0837,0.0837,0.0837,0.0837,0.0837,0.0837,0.0837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-20T02:00:00+02:00,0.08181,0.08181,0.07426,0.07474,262,NaN,0.076936667,0.076936667,0.076936667,0.076936667,0.076936667,0.076936667,0.076936667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-21T02:00:00+02:00,0.07425,0.07921,0.06634,0.07921,575,NaN,0.07492,0.07492,0.07492,0.07492,0.07492,0.07492,0.07492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-22T02:00:00+02:00,0.07921,0.08181,0.0505,0.05149,2160,NaN,0.061266667,0.061266668,0.061266666,0.061266669,0.061266665,0.061266669,0.061266664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-23T02:00:00+02:00,0.0505,0.06767,0.0505,0.06262,2402.5,NaN,0.060263333,0.060263333,0.060263333,0.060263333,0.060263333,0.060263333,0.060263333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-24T02:00:00+02:00,0.06161,0.06161,0.05049,0.05454,496.32,NaN,0.055546667,0.055546667,0.055546667,0.055546667,0.055546667,0.055546667,0.055546667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-25T02:00:00+02:00,0.05545,0.05941,0.0505,0.0505,1551.48,NaN,0.05347,0.053470001,0.053469999,0.053470002,0.053469998,0.053470003,0.053469997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-07-26T02:00:00+02:00,0.05,0.056,0.05,0.056,877,NaN,0.054,0.054,0.054,0.054,0.054,0.054,0.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
