time,close
1971-08-04T01:00:00+01:00,5.5
1971-08-16T01:00:00+01:00,5.75
1971-09-01T01:00:00+01:00,5.13
1971-10-01T01:00:00+01:00,5.13
1971-11-01T01:00:00+01:00,5.13
1971-11-08T01:00:00+01:00,5
1971-11-12T01:00:00+01:00,4.75
1971-11-29T01:00:00+01:00,4.5
1971-12-01T01:00:00+01:00,4.5
1971-12-16T01:00:00+01:00,4.13
1971-12-17T01:00:00+01:00,4
1971-12-20T01:00:00+01:00,3.5
1972-01-03T01:00:00+01:00,3.5
1972-02-01T01:00:00+01:00,3.5
1972-03-01T01:00:00+01:00,5.5
1972-04-03T01:00:00+01:00,5.5
1972-05-01T01:00:00+01:00,5.5
1972-06-01T01:00:00+01:00,5.5
1972-07-03T01:00:00+01:00,5.5
1972-08-01T01:00:00+01:00,5.5
1972-09-01T01:00:00+01:00,5.5
1972-10-02T01:00:00+01:00,5.5
1972-11-01T01:00:00+01:00,5.5
1972-12-01T01:00:00+01:00,5.5
1973-01-01T01:00:00+01:00,5.5
1973-01-04T01:00:00+01:00,5.75
1973-01-15T01:00:00+01:00,5.88
1973-01-19T01:00:00+01:00,6
1973-02-01T01:00:00+01:00,6
1973-02-12T01:00:00+01:00,6.5
1973-02-26T01:00:00+01:00,6.75
1973-03-01T01:00:00+01:00,6.75
1973-03-14T01:00:00+01:00,7
1973-03-29T01:00:00+01:00,7.25
1973-04-02T01:00:00+01:00,7.25
1973-05-01T01:00:00+01:00,7.25
1973-05-04T01:00:00+01:00,7.5
1973-05-18T01:00:00+01:00,7.88
1973-05-31T01:00:00+01:00,8.25
1973-06-01T01:00:00+01:00,8.25
1973-06-11T01:00:00+01:00,8.5
1973-07-02T01:00:00+01:00,9.25
1973-07-06T01:00:00+01:00,9.5
1973-07-27T01:00:00+01:00,10.5
1973-08-01T01:00:00+01:00,10.5
1973-08-30T01:00:00+01:00,11
1973-09-03T01:00:00+01:00,9
1973-10-01T01:00:00+01:00,9
1973-11-01T01:00:00+01:00,9
1973-12-03T01:00:00+01:00,9
1974-01-01T01:00:00+01:00,9
1974-02-01T01:00:00+01:00,9
1974-03-01T01:00:00+01:00,10
1974-04-01T01:00:00+01:00,10
1974-04-25T02:00:00+02:00,10.75
1974-05-01T02:00:00+02:00,13
1974-06-03T02:00:00+02:00,13
1974-07-01T02:00:00+02:00,9.25
1974-08-01T02:00:00+02:00,9.25
1974-09-02T02:00:00+02:00,9.25
1974-10-01T02:00:00+02:00,9.25
1974-11-01T01:00:00+01:00,9.25
1974-12-02T01:00:00+01:00,9.25
1974-12-09T01:00:00+01:00,9
1974-12-16T01:00:00+01:00,8.25
1974-12-20T01:00:00+01:00,8
1975-01-01T01:00:00+01:00,8
1975-01-10T01:00:00+01:00,7.25
1975-01-16T01:00:00+01:00,7
1975-02-03T01:00:00+01:00,7
1975-02-04T01:00:00+01:00,6.5
1975-02-06T01:00:00+01:00,6.25
1975-02-26T01:00:00+01:00,6
1975-03-03T01:00:00+01:00,6
1975-03-10T01:00:00+01:00,5.75
1975-03-21T01:00:00+01:00,5.5
1975-04-01T01:00:00+01:00,5.5
1975-04-30T02:00:00+02:00,5.25
1975-05-01T02:00:00+02:00,5.25
1975-06-02T02:00:00+02:00,6.5
1975-07-01T02:00:00+02:00,6.5
1975-08-01T02:00:00+02:00,6.5
1975-09-01T02:00:00+02:00,6.5
1975-10-01T02:00:00+02:00,4.88
1975-11-03T01:00:00+01:00,4.88
1975-12-01T01:00:00+01:00,4.88
1976-01-01T01:00:00+01:00,4.88
1976-01-12T01:00:00+01:00,4.75
1976-02-02T01:00:00+01:00,4.75
1976-03-01T01:00:00+01:00,4.75
1976-04-01T02:00:00+02:00,4.75
1976-04-21T02:00:00+02:00,4.88
1976-05-03T02:00:00+02:00,5.5
1976-06-01T02:00:00+02:00,5.5
1976-07-01T02:00:00+02:00,5.13
1976-08-02T02:00:00+02:00,5.13
1976-09-01T02:00:00+02:00,5.13
1976-10-01T01:00:00+01:00,5.13
1976-10-13T01:00:00+01:00,5
1976-11-01T01:00:00+01:00,5
1976-11-22T01:00:00+01:00,4.88
1976-11-26T01:00:00+01:00,4.75
1976-12-01T01:00:00+01:00,5.88
1977-01-03T01:00:00+01:00,5.88
1977-02-01T01:00:00+01:00,5.88
1977-03-01T01:00:00+01:00,5.88
1977-04-01T01:00:00+01:00,5.88
1977-05-02T02:00:00+02:00,5.88
1977-06-01T02:00:00+02:00,5.88
1977-07-01T02:00:00+02:00,5.88
1977-08-01T02:00:00+02:00,5.88
1977-08-15T02:00:00+02:00,6
1977-09-01T02:00:00+02:00,6
1977-09-15T02:00:00+02:00,6.13
1977-09-20T02:00:00+02:00,6.25
1977-10-03T01:00:00+01:00,6.25
1977-10-26T01:00:00+01:00,6.5
1977-11-01T01:00:00+01:00,6.5
1977-12-01T01:00:00+01:00,6.5
1978-01-02T01:00:00+01:00,6.5
1978-01-09T01:00:00+01:00,6.75
1978-02-01T01:00:00+01:00,6.75
1978-03-01T01:00:00+01:00,6.75
1978-04-03T02:00:00+02:00,6.75
1978-04-19T02:00:00+02:00,7
1978-04-26T02:00:00+02:00,7.13
1978-04-27T02:00:00+02:00,7.25
1978-05-01T02:00:00+02:00,7.25
1978-05-17T02:00:00+02:00,7.5
1978-06-01T02:00:00+02:00,7.5
1978-06-21T02:00:00+02:00,7.75
1978-07-03T02:00:00+02:00,7.75
1978-07-19T02:00:00+02:00,7.88
1978-08-01T02:00:00+02:00,7.88
1978-08-16T02:00:00+02:00,8
1978-08-21T02:00:00+02:00,8.13
1978-08-25T02:00:00+02:00,8.25
1978-09-01T02:00:00+02:00,8.25
1978-09-08T02:00:00+02:00,8.38
1978-09-20T02:00:00+02:00,8.5
